28
Time[s],Thrust[lbf]
0,0.187688,
0.443431,95782.5,
0.929542,95781.2,
5.93412,112200,
10.3135,127972,
13.9976,140719,
15.8045,145471,
18.1652,143951,
21.4295,145456,
25.1799,146959,
28.3748,148464,
32.3335,149750,
35.7360,148876,
39.4857,147785,
43.3739,145180,
47.0533,141062,
49.8302,137811,
53.1637,138667,
56.0109,138443,
57.6078,137358,
63.5126,144477,
64.1362,139502,
65.2250,59715.5,
65.2923,51715.3,
66.6714,16684.5,
67.5024,8249.81,
69.3066,3488.18,
71.7362,0,
