27
Time[s],Thrust[lbf]
0,17.8749,
0.02,5237.34,
0.987074,5630.70,
2.04780,6059.82,
3.26788,6488.95,
5.65733,6739.47,
7.46309,6829.04,
10.2241,7160.04,
12.4537,7517.78,
15.2678,7866.66,
20.1021,7777.83,
26.3693,8046.65,
31.0431,8252.73,
36.7268,8306.99,
41.8796,8307.57,
47.4574,8281.38,
53.1414,8264.14,
56.9665,8148.38,
57.7683,6888.29,
59.0472,5878.50,
59.9516,5530.04,
62.2912,4967.24,
63.9934,4368.62,
65.3246,3555.46,
66.1255,2509.87,
66.8248,311.339,
67.6227,0,
